48,100011323840,美的（Midea）,JSQ30-JM9,2199,3994,21,47
49,100006961267,美的（Midea）,JSQ30-RD3,1799,1519,4,9
50,6723160,美的（Midea）,JSQ30-G3S,1599,185092,755,1489
51,100011596094,美的（Midea）,JSQ30-JM2,1199,764,2,5
52,100005217021,美的（Midea）,JSQ25-JM3,1799,746,3,4
53,100006423973,美的（Midea）,JSQ30-16E1,3599,147,0,4
54,100006906796,美的（Midea）,JSQ30-GT5,2099,344,2,7
55,100002419329,美的（Midea）,JSQ30-GS6,1699,2302,9,31
56,28502078884,美的（Midea）,JSG22-12HC5 ,1599,72,0,3
57,100007646337,美的（Midea）,JSQ25-JM2,4198,1122,5,5
58,35514877065,美的（Midea）,JSQ25-13HP3(T),1999,13,1,0
59,11972109451,美的（Midea）,H6S系列,1499,247,1,3
60,69611386400,美的（Midea）,210511100,2999,0,0,0
61,100011323812,美的（Midea）,JSQ25-JM9,1899,979,3,7
